Gene,Description¹,GO_Annotation(s)¹,Interaction_partner(s),SV_details (allele freq<0.01)²,FusorSV_id(s)²,OFCL³,ALL,MSC,NCC,NCC_12.5⁴,NCC_13.5⁴,NCC_14⁴,NCC_14.5⁴
TGFB2,Transforming Growth Factor Beta 2,Signaling receptor binding,SMAD family,multi-SV multi-sample NCC insulator DEL,"C_9550, C_9541",1,0,3,0,8.4935150640616595,7.8339963417094598,8.5213843960346995,8.9677591267695007
MECOM,MDS1 And EVI1 Complex Locus,Transcriptional regulator,"SMAD3, CREBBP, KAT2B, MAPK8, MAPK9",multi-SV multi-sample MSC insulator DEL,"C_32706, C_32721",1,0,2,0,10.9688704773528,8.1179089423831492,8.6941671418836002,8.6956740488242499
BCOR,BCL6 Corepressor,TF binding,"BCL6, MLLT3, KDM2B, TFAP2A","multi-SV in single sample direct DEL, INV","C_97874, C_242386",1,2,0,0,8.1244468557158491,6.7511014689367599,7.44716835960004,7.7803030879083703
SOX9,SRY-Box Transcription Factor 9,DNA binding TF activity,"COL family, RUNX2, FOXO family",NCC enhancer/insulator INS (MEI),C_227086,1,0,0,2,8.5207867269263708,7.8046592970560997,8.2635904326173204,7.2970910051604196
SIM2,SIM BHLH Transcription Factor 2,DNA binding TF activity,"SIX3, FOXR2, SUMO3","MSC insulator, NCC enhancer DEL",C_175091,1,0,2,2,9.0038080864671706,7.3238305662023198,8.0446262797673391,7.6202147705744503
SMARCA2,SWI/SNF Related BAF Chromatin Remodeling Complex Subunit ATPase 2,DNA binding activity,npBAF complex,"MSC insulator/enhancer, NCC enhancer DEL",C_88109,1,0,1,1,8.8974088652709504,8.4593521917263903,9.07440609473535,9.1591523352067501
HIF1A,Hypoxia Inducible Factor 1 Subunit Alpha,DNA binding TF activity,"APEX1,CREBBP,EP300,NCOA1",MSC insulator DEL,C_135462,1,0,1,0,8.8251189703450592,7.9575274022307703,8.6228136732799197,8.7946734013834202
TCF7L2,Transcription Factor 7 Like 2,"DNA binding TF activity, Chromatin binding","MYC, CTNNB1. TLE family","MSC, NCC enhancers DEL",C_109245,1,0,1,1,9.8100007094426598,8.5950797300733104,9.3507108248234605,9.6035979369766
MEIS2,Meis Homeobox 2,"TF binding, DNA binding TF activity","EPHA8, PBX family, HOX family",multi-sample direct INS (MEI),C_223697,1,1,0,0,11.017710688718401,9.5630374145456898,10.3616083598701,10.8907957716456
DNMT1,DNA Methyltransferase 1,"RNA binding, TF binding","H3K4, H3K9, BAG1",direct exon DEL,C_163987,1,1,0,0,8.6462897647506498,7.5704432520573697,8.1545001751519397,7.6629378504615397
BICC1,BicC Family RNA Binding Protein 1,RNA binding,"FGFR2, FGFR1, TACC3 ",MSC enhancer DEL,C_107117,1,0,1,0,9.1035343676583693,8.4521211946725199,9.1708716280658198,9.7041215611329203
PAX3,Paired Box 3,"DNA binding TF activity, Chromatin binding","MITF, SOX10",multi-SV multi-sample MSC insulator DEL,C_23454,1,0,2,0,5.0814043649844596,6.4248690239053898,7.8732170548627396,9.0332451341538107
