comparison,group,sv_type,raw_count,group_total,normalized_percent,unique_samples,count_per_sample
Race / ancestry comparison,African,DEL,1258968,1667293,75.5097034534422,383,3287.1227154046996
Race / ancestry comparison,African,DUP,19232,1667293,1.153486519765872,383,50.21409921671018
Race / ancestry comparison,African,INS,354223,1667293,21.245395980190647,383,924.8642297650131
Race / ancestry comparison,African,INV,34870,1667293,2.091414046601287,383,91.0443864229765
Race / ancestry comparison,Asian,DEL,945052,1282436,73.69194252188804,327,2890.0672782874617
Race / ancestry comparison,Asian,DUP,18356,1282436,1.431338483947737,327,56.13455657492355
Race / ancestry comparison,Asian,INS,290879,1282436,22.68175565876192,327,889.5382262996942
Race / ancestry comparison,Asian,INV,28149,1282436,2.1949633354023126,327,86.08256880733946
Role / phenotype comparison,Child,DEL,746470,1003769,74.3667118629884,238,3136.4285714285716
Role / phenotype comparison,Child,DUP,12868,1003769,1.2819682616219468,238,54.0672268907563
Role / phenotype comparison,Child,INS,222936,1003769,22.209890921118305,238,936.7058823529412
Role / phenotype comparison,Child,INV,21495,1003769,2.141428954271351,238,90.31512605042016
Role / phenotype comparison,Parents,DEL,1457550,1945960,74.90133404592078,472,3088.0296610169494
Role / phenotype comparison,Parents,DUP,24720,1945960,1.2703241587699645,472,52.3728813559322
Role / phenotype comparison,Parents,INS,422166,1945960,21.694484984275114,472,894.4194915254237
Role / phenotype comparison,Parents,INV,41524,1945960,2.1338568110341427,472,87.97457627118644
Role / phenotype comparison,Affected,DEL,760641,1023077,74.34836283095017,243,3130.2098765432097
Role / phenotype comparison,Affected,DUP,13140,1023077,1.2843608056871574,243,54.074074074074076
Role / phenotype comparison,Affected,INS,227378,1023077,22.224915622186796,243,935.7119341563786
Role / phenotype comparison,Affected,INV,21918,1023077,2.142360741175884,243,90.19753086419753
Role / phenotype comparison,CL,DEL,173378,231262,74.97037991542061,52,3334.1923076923076
Role / phenotype comparison,CL,DUP,2654,231262,1.1476161237038511,52,51.03846153846154
Role / phenotype comparison,CL,INS,50355,231262,21.774005240809124,52,968.3653846153846
Role / phenotype comparison,CL,INV,4875,231262,2.1079987200664183,52,93.75
Role / phenotype comparison,CLP,DEL,587263,791815,74.16669297752631,191,3074.675392670157
Role / phenotype comparison,CLP,DUP,10486,791815,1.3242992365640964,191,54.90052356020942
Role / phenotype comparison,CLP,INS,177023,791815,22.3566110770824,191,926.8219895287958
Role / phenotype comparison,CLP,INV,17043,791815,2.152396708827188,191,89.2303664921466
Role / phenotype comparison,Normal,DEL,1439939,1921982,74.91948415749991,466,3089.997854077253
Role / phenotype comparison,Normal,DUP,24394,1921982,1.26921063776872,466,52.347639484978544
Role / phenotype comparison,Normal,INS,416665,1921982,21.678923111662858,466,894.1309012875537
Role / phenotype comparison,Normal,INV,40984,1921982,2.1323820930685096,466,87.94849785407726
Role / phenotype comparison,Background population,DEL,9476880,13290494,71.30570165412963,2981,3179.0942636699097
Role / phenotype comparison,Background population,DUP,193678,13290494,1.4572671264138113,2978,65.03626595030222
Role / phenotype comparison,Background population,INS,3342056,13290494,25.14621352675077,2976,1123.002688172043
Role / phenotype comparison,Background population,INV,277880,13290494,2.090817692705779,2980,93.24832214765101
