Gene,Description,GO_Annotation(s),Interaction_partner(s),SV_details (allele freq<0.01),FusorSV_id(s),OFCL,ALL,MSC,NCC,NCC_12.5,NCC_13.5,NCC_14,NCC_14.5
TCOF1,Treacle Ribosome Biogenesis Factor 1,RNA binding and transporter activity,"LIS1,NOLC1",multi-SV multi-sample NCC enhancer DEL,"C_53705, C_53712",1,0,0,2,7.87,7.15,7.75,6.93
TGFB2,Transforming Growth Factor Beta 2,Signaling receptor binding,SMAD family,multi-SV multi-sample NCC insulator DEL,"C_9550, C_9541",1,0,3,0,8.49,7.83,8.52,8.97
MECOM,MDS1 And EVI1 Complex Locus,Transcriptional regulator,"SMAD3, CREBBP, KAT2B, MAPK8, MAPK9",multi-SV multi-sample MSC insulator DEL,"C_32706, C_32721",1,0,2,0,10.97,8.12,8.69,8.7
BCOR,BCL6 Corepressor,TF binding,"BCL6, MLLT3, KDM2B, TFAP2A","multi-SV in single sample direct DEL, INV","C_97874, C_242386",1,2,0,0,8.12,6.75,7.45,7.78
SOX9,SRY-Box Transcription Factor 9,DNA binding TF activity,"COL family, RUNX2, FOXO family",NCC enhancer/insulator INS (MEI),C_227086,1,0,0,2,8.52,7.8,8.26,7.3
SIM2,SIM BHLH Transcription Factor 2,DNA binding TF activity,"SIX3, FOXR2, SUMO3","MSC insulator, NCC enhancer DEL",C_175091,1,0,2,2,9,7.32,8.04,7.62
SMARCA2,SWI/SNF Related BAF Chromatin Remodeling Complex Subunit ATPase 2,DNA binding activity,npBAF complex,"MSC insulator/enhancer, NCC enhancer DEL",C_88109,1,0,1,1,8.9,8.46,9.07,9.16
HIF1A,Hypoxia Inducible Factor 1 Subunit Alpha,DNA binding TF activity,"APEX1,CREBBP,EP300,NCOA1",MSC insulator DEL,C_135462,1,0,1,0,8.83,7.96,8.62,8.79
TCF7L2,Transcription Factor 7 Like 2,"DNA binding TF activity, Chromatin binding","MYC, CTNNB1. TLE family","MSC, NCC enhancers DEL",C_109245,1,0,1,1,9.81,8.6,9.35,9.6
MEIS2,Meis Homeobox 2,"TF binding, DNA binding TF activity","EPHA8, PBX family, HOX family",multi-sample direct INS (MEI),C_223697,1,1,0,0,11.02,9.56,10.36,10.89
DNMT1,DNA Methyltransferase 1,"RNA binding, TF binding","H3K4, H3K9, BAG1",direct exon DEL,C_163987,1,1,0,0,8.65,7.57,8.15,7.66
BICC1,BicC Family RNA Binding Protein 1,RNA binding,"FGFR2, FGFR1, TACC3 ",MSC enhancer DEL,C_107117,1,0,1,0,9.1,8.45,9.17,9.7
PAX3,Paired Box 3,"DNA binding TF activity, Chromatin binding","MITF, SOX10",multi-SV multi-sample MSC insulator DEL,C_23454,1,0,2,0,5.08,6.42,7.87,9.03
BMP4,Bone Morphogenetic Protein 4,"Cytokine activity, Heparin binding","SMAD1, MSX1, CTNNB1, MAP family",NCC enhancer DEL,C_135176,1,0,0,2,6.86,5.78,6.48,7.02
MED1,Mediator Complex Subunit 1,Chromatin binding,"SP1, TFIID","multi-SV mult-sample NCC enhancer DEL, MSC insulator DEL","C_154763, C_154766, C_154770",0,0,1,2,8.43,7.35,7.98,7.79
NFE2L1,NFE2 Like BZIP Transcription Factor 1,DNA binding TF activity,"CEBPB, SP7","multi-SV multi-sample NCC enhancer DEL, MSC insulator INS, enhancer DEL","C_155411, C_155393, C_226633",0,0,1,2,8.01,7.35,7.92,7.82
DOT1L,DOT1 Like Histone Lysine Methyltransferase,"Histone methyltransferase activity, TF binding","MLLT3, BCOR, NCOR1, TFAP2A",multi-SV multi-sample MSC/CC enhancer DEL,"C_162775, C_162773, C_162777",0,0,2,1,8.05,7,7.68,7.6
MLLT6,"MLLT6, PHD Finger Containin",Transcriptional regulator,MED1,"multi-SV multi-sample NCC insulator DEL, enhancer INS","C_154706, C_226473",0,0,0,2,6.85,5.83,6.47,6.37
ANP32B,Acidic Nuclear Phosphoprotein 32 Family Member B,Histone binding,"XPO1, CRM1",MSC insulator DEL,C_91851,0,0,1,0,9.8,8.82,9.33,8.57
SERTAD2,SERTA Domain Containing 2,Transcription coactivator activity,"E2F1, TFDP1",NCC enhancer INS,C_185279,0,0,0,1,8.2,7.17,7.99,8.17
MYSM1,"Myb Like, SWIRM And MPN Domains 1","Chromatin binding, Complex binding","NOD2, TRAF3, TRAF6, PAX6, EBF1, FLT3",MSC enhancer DEL,C_3715,0,0,1,0,8.22,7.21,7.96,8.26
AFF3,ALF Transcription Elongation Factor 3,DNA binding,"MLLT3, MLLT1, CDK9",direct exon DEL,C_18569,0,1,0,0,10.61,9.59,10.33,10.7
PHF21A,PHD Finger Protein 21A,Chromatin binding,"KDM1A, BHC complex",direct exon DEL,C_113972,0,1,0,0,9.93,8.64,9.34,9.92
WDR82,WD Repeat Domain 82,Chromatin binding,"H3K4, POLR2A, SET1, SET2",MSC insulator DEL,C_27678,0,0,1,0,8.25,7.3,7.95,7.49
TET3,Tet Methylcytosine Dioxygenase 3,5-methylcytosine dioxygenase activity,"H2B, methyl-CpG",direct exon DEL,C_16066,0,1,0,0,8.87,7.61,8.17,8.37
ZMYM5,Zinc Finger MYM-Type Containing 5,Transcriptional regulator,RNA polymerase II,MSC enhancer DEL,C_128215,0,0,1,0,8.38,7.32,7.94,8.09
PWWP2A,PWWP Domain Containing 2A,"Mitosis progression, Chromatin binding","CHD7, MBD3, MTA1, H3K27, NuRD complex",MSC enhancer DEL,C_54086,0,0,1,0,8.36,7.24,7.89,8.02
GATAD2A,GATA Zinc Finger Domain Containing 2A,DNA binding TF activity,"MBD2, NuRD complex",direct exon DEL,C_164798,0,1,0,0,8.06,7.3,7.89,7.59
SINHCAF,SIN3-HDAC Complex Associated Factor,Complex stability,SINA3 complex,NCC insulator DEL,C_121569,0,0,0,1,8.54,7.1,7.62,6.88
MBD5,Methyl-CpG Binding Domain Protein 5,Chromatine binding,"PR-DUB complex, MBD6",NCC enhancer DEL,C_20557,0,0,0,1,9.83,8.55,9.32,9.95
