Source,InteractionType,Target
KMT2D,activates,GO:0018022
GO:0018022,upregulates,TP63
EZH2,activates,GO:0035069
GO:0035069,downregulates,GO:0007049
GO:0007049,represses,TP63
HDAC4,activates,GO:0004407
GO:0004407,represses,IRF6
DNMT1,activates,GO:0003886
GO:0003886,silences,TGFB3
DICER1,activates,GO:0030621
GO:0030621,downregulates,SNAI1
TGFB3,activates,GO:0005024
GO:0005024,induces,SNAI1
SNAI1,downregulates,CDH1
CDH1,executes,GO:0090136
GO:0090136,results_in,GO:0001837
TP63,activates,IRF6
IRF6,induces,GRHL3
GRHL3,upregulates,CLDN3
GRHL3,upregulates,CLDN4
CLDN3,executes,GO:0009156
CLDN4,executes,GO:0009156
GO:0009156,maintains,GO:0009913
GO:0009913,part_of,GO:0060021
GO:0001837,part_of,GO:0060021
PITX2,regulates,GO:0030856
GO:0030856,part_of,GO:0060021
FGFR2,promotes,GO:0005007
GO:0005007,drives,GO:0060021
