Source,InteractionType,Target
KMT2D,carries,GO:0018022
GO:0018022,upregulates,TP63
EZH2,carries,GO:0035069
GO:0035069,downregulates,GO:0007049
GO:0007049,represses,TP63
HDAC4,carries,GO:0004407
GO:0004407,represses,IRF6
DNMT1,carries,GO:0003886
GO:0003886,silences,TGFB3
DICER1,activates,GO:0030621
GO:0030621,downregulates,SNAI1
TGFB3,activates,GO:0005024
GO:0005024,induces,SNAI1
SNAI1,downregulates,CDH1
CDH1,executes,GO:0090136
GO:0090136,results_in,GO:0001837
TP63,activates,IRF6
IRF6,induces,GRHL3
GRHL3,upregulates,CLDN3
GRHL3,upregulates,CLDN4
CLDN3,executes,GO:0009156
CLDN4,executes,GO:0009156
GO:0009156,maintains,GO:0009913
GO:0009913,part_of,GO:0060021
GO:0001837,part_of,GO:0060021
PITX2,regulates,GO:0030856
GO:0030856,part_of,GO:0060021
FGFR2,promotes,GO:0005007
GO:0005007,drives,GO:0060021
HIF1A,activates,GO:0071456
GO:0071456,upregulates,SNAI1
HIF1A,activates,GO:0001837
SNAI1,activates,STMN3
HIF1A,upregulates,STMN3
STMN3,executes,GO:0001837
ZNF462,collaborates_with,KMT2D
ZNF462,collaborates_with,EZH2
ZNF462,regulates,GO:0035069
FGFR2,induces,MIER1
MIER1,recruits,HDAC4
MIER1,recruits,EZH2
MIER1,activates,GO:0035069
TGFB3,regulates,COL5A1
SNAI1,regulates,COL5A1
COL5A1,part_of,GO:0009913
MACROD2,executes,GO:0006281
GO:0006281,maintains,GO:0060021
HIF1A,upregulates,MICA
MICA,activates,GO:0006915
GO:0006915,part_of,GO:0060021
TET3,carries,GO:0035514
GO:0035514,activates,TGFB3
