GO_ID,GeneSymbol,Evidence_Code,Aspect
GO:0060021,FOXE1,IEA,P
GO:0060021,CLDN5,TAS,P
GO:0030856,ALOX15B,NAS,P
GO:0001837,SNAI2,IEA,P
GO:0060021,TCF21,ISS,P
GO:0060021,MSC,IEA,P
GO:0001837,ROCK2,ISS,P
GO:0001837,SNAI1,ISS,P
GO:0060021,WDPCP,IMP,P
GO:0001837,TGFB1,IDA,P
GO:0001837,IGF1,NAS,P
GO:0060021,TFAP2A,IMP,P
GO:0009913,GLI1,IDA,P
GO:0060021,INHBA,IGI,P
GO:0009913,GLI2,IDA,P
GO:0005007,FGFR1,IEA,F
GO:0001837,FGFR1,IMP,P
GO:0009156,PRPS2,IEA,P
GO:0001837,BMP2,IDA,P
GO:0060021,SKI,ISS,P
GO:0001837,NCAM1,ISS,P
GO:0060021,COL11A2,IMP,P
GO:0001837,HGF,TAS,P
GO:0090136,DSP,IMP,P
GO:0001837,DDX5,IMP,P
GO:0001837,BMP7,TAS,P
GO:0090136,ITGB5,IMP,P
GO:0090136,VCL,IMP,P
GO:0009156,PRPS1L1,IEA,P
GO:0005007,FGFR2,IEA,F
GO:0001837,FGFR2,IEA,P
GO:0005007,FGFR4,IEA,F
GO:0005007,FGFR3,IEA,F
GO:0030856,CD24,NAS,P
GO:0001837,S100A4,TAS,P
GO:0001837,MSX1,IEA,P
GO:0060021,MSX1,ISS,P
GO:0060021,GABRB3,ISS,P
GO:0060021,EPHB2,ISS,P
GO:0001837,CTNNB1,TAS,P
GO:0005024,TGFBR1,IMP,F
GO:0001837,TGFBR1,IDA,P
GO:0060021,TGFBR1,ISS,P
GO:0005024,ACVRL1,IDA,F
GO:0005024,TGFBR2,IEA,F
GO:0001837,TGFBR2,IMP,P
GO:0060021,TGFBR2,IMP,P
GO:0001837,WNT5A,IEP,P
GO:0001837,NOTCH1,ISS,P
GO:0001837,SOX9,ISS,P
GO:0001837,GSK3B,IMP,P
GO:0090136,SERPINB8,IMP,P
GO:0001837,HMGA2,IMP,P
GO:0060021,EPHB3,ISS,P
GO:0009156,ADK,IEA,P
GO:0001837,WNT4,IEP,P
GO:0001837,LOXL3,IDA,P
GO:0060021,LOXL3,ISS,P
GO:0009156,PRPS1,IEA,P
GO:0001837,TGFB2,IDA,P
GO:0060021,SUMO1,ISS,P
GO:0090136,DSG1,IMP,P
GO:0090136,DSC2,IEA,P
GO:0005024,TGFBR3,IEA,F
GO:0001837,TGFBR3,IDA,P
GO:0001837,RBPJ,ISS,P
GO:0001837,FOXF2,NAS,P
GO:0060021,FOXF2,IMP,P
GO:0001837,NOG,ISS,P
GO:0001837,TRIM28,ISS,P
GO:0001837,SLC39A6,ISS,P
GO:0001837,ROCK1,ISS,P
GO:0001837,SMAD4,IGI,P
GO:0009913,HDAC1,ISS,P
GO:0005024,LTBP1,NAS,F
GO:0001837,CUL7,IDA,P
GO:0001837,HIF1A,IEA,P
GO:0030856,BLTP1,NAS,P
GO:0001837,SP6,IEA,P
GO:0060021,PKDCC,ISS,P
GO:0090136,PLEKHA7,IMP,P
GO:0060021,BCOR,IMP,P
GO:0001837,AKNA,ISS,P
GO:0060021,OSR2,ISS,P
GO:0005024,LTBP4,NAS,F
GO:0005007,FGFRL1,IEA,F
GO:0090136,POPDC1,IDA,P
GO:0060021,OSR1,ISS,P
GO:0001837,DLG5,IMP,P
GO:0009913,HDAC2,ISS,P
GO:0001837,DDX17,IMP,P
GO:0001837,AMELX,ISS,P
GO:0001837,NOTCH4,IMP,P
GO:0001837,HNRNPAB,ISS,P
GO:0009913,OVOL2,IEA,P
GO:0090136,KIFC3,IMP,P
GO:0001837,FAM83D,IDA,P
GO:0001837,EPB41L5,IEA,P
GO:0009913,SPINK5,IDA,P
GO:0090136,CAMSAP3,IMP,P
GO:0060021,CHD7,IEA,P
GO:0001837,LEF1,ISS,P
GO:0060021,INTU,IMP,P
GO:0001837,SLC39A10,ISS,P
GO:0090136,PKP3,ISS,P
GO:0001837,LOXL2,IDA,P
GO:0001837,hsa-miR-326,IMP,P
GO:0005024,TGFBR3L,IBA,F
GO:0001837,TGFBR3L,IBA,P
GO:0005024,BMPR2,IBA,F
GO:0009913,OVOL3,IBA,P
GO:0030856,GATA3,IBA,P
GO:0005024,AMHR2,IBA,F
GO:0009913,OVOL1,IBA,P
