chrom,structural_variants,ratio
chr1,6589,0.06991278144430532
chr10,4303,0.045657110116079196
chr11,4243,0.045020478322687435
chr12,4799,0.0509199329414511
chr13,2926,0.03104641045773826
chr14,2872,0.030473441843685674
chr15,2296,0.02436177662712476
chr16,3035,0.032202958215733296
chr17,3046,0.03231967404452178
chr18,2230,0.023661481654393822
chr19,3139,0.03330645332427901
chr2,7331,0.07778579462258345
chr20,2220,0.02355537635549519
chr21,1518,0.01610678437281158
chr22,1680,0.017825690214969336
chr3,5821,0.061763894488890775
chr4,5893,0.06252785264096089
chr5,4976,0.052797996731956794
chr6,6841,0.07258663497655073
chr7,6014,0.06381172675763427
chr8,4590,0.04870233219446979
chr9,3766,0.03995925556522293
chrX,3748,0.0397682660272054
chrY,370,0.003925896059249199
